arm	inchikey	smiles	source	source_id	licence	fetched	mw	clogp	hbd	hba	tpsa	rotb	heavy	total_atoms	rings	frac_csp3	pains	ro5_viol	is_fragment	also_in
screen	BISPBXFUKNXOQY-RITPCOANSA-M	CC1=C[C@@H]2CN(C(=O)N2OS(=O)(=O)[O-])[C@@H]1C(N)=O	chembl_approved	CHEMBL4297378	CC BY-SA 3.0	2026-09-25	276.25	-1.702	1	6	133.07	3	18	28	2	0.5	0	0	0	
screen	KCWZGJVSDFYRIX-YFKPBYRVSA-N	COC(=O)[C@@H](N)CCCNC(=N)N[N+](=O)[O-]	chembl_phase2	CHEMBL7890	CC BY-SA 3.0	2026-09-25	233.23	-1.427	4	6	143.37	6	16	31	0	0.714	0	0	0	
screen	MNEOHCYSHVKLIC-UHFFFAOYSA-N	O=C(O)CC1CCN(C(=O)c2ccc(Cl)c(Cn3ccc4cc(C(F)(F)F)cc(Cl)c43)c2Cl)CC1	chembl_phase2	CHEMBL5095174	CC BY-SA 3.0	2026-09-25	547.79	6.996	1	2	62.54	5	35	55	4	0.333	0	2	0	
screen	LUOUCHOLMUUZBO-SVSXJNCISA-N	CCOC(=O)Oc1ccc(/C=C/C=C/C(=O)NCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1OC	chembl_phase2	CHEMBL314338	CC BY-SA 3.0	2026-09-25	584.71	6.187	1	7	86.33	13	43	83	4	0.314	0	2	0	
screen	ABAPCYNTEPGBNJ-FTGAXOIBSA-N	C[C@@H](O)[C@@H](C(N)=O)N1C[C@@]2(CCCN2C(=O)OC(C)(C)C)C1=O	chembl_phase2	CHEMBL5314944	CC BY-SA 3.0	2026-09-25	327.38	-0.167	2	5	113.17	3	23	48	2	0.8	0	0	0	
screen	GXTVPHUMJMZDSF-UHFFFAOYSA-N	C1=NC(c2cccnc2)CC1	chembl_phase2	CHEMBL6068056	CC BY-SA 3.0	2026-09-25	146.19	1.987	0	2	25.25	1	11	21	2	0.333	0	0	1	
screen	PCKYITPVOLEZKL-UHFFFAOYSA-N	COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCCCC(=O)O	chembl_phase2	CHEMBL5314510	CC BY-SA 3.0	2026-09-25	619.62	6.695	3	7	136.08	14	45	76	5	0.273	0	2	0	
screen	ANEBWFXPVPTEET-UHFFFAOYSA-N	COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1	chembl_phase3	CHEMBL1085699	CC BY-SA 3.0	2026-09-25	610.71	4.953	1	9	114.25	10	45	83	5	0.314	0	1	0	
screen	JAYVKNDQKXUNOJ-UHFFFAOYSA-N	COc1ccc(C(=O)Nc2ccc(S(=O)(=O)NC(CC#CCN3CCOCC3)C(=O)O)cc2)cc1	chembl_phase2	CHEMBL4297318	CC BY-SA 3.0	2026-09-25	501.56	1.405	3	7	134.27	9	35	62	3	0.333	0	1	0	
screen	PZBCKZWLPGJMAO-UHFFFAOYSA-N	COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21	chembl_approved	CHEMBL3218576	CC BY-SA 3.0	2026-09-25	480.53	0.662	2	11	139.79	7	35	63	5	0.435	0	1	0	chembl_approved:CHEMBL3545068
screen	RYAYYVTWKAOAJF-QISPRATLSA-N	CC1(C)CCC2(CC1)N[C@@H](C(=O)N[C@@H]1CC[C@@H](C(N)=O)OC1)[C@H](c1ccnc(Cl)c1F)[C@]21C(=O)Nc2cc(Cl)ccc21	chembl_phase1	CHEMBL4297374	CC BY-SA 3.0	2026-09-25	618.54	3.961	4	6	135.44	4	42	76	6	0.533	0	1	0	chembl_phase3:CHEMBL4292264
screen	RLLPVAHGXHCWKJ-UHFFFAOYSA-N	CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1	chembl_approved	CHEMBL1525	CC BY-SA 3.0	2026-09-25	391.29	6.113	0	3	35.53	6	26	46	3	0.286	0	1	0	
screen	CEJLBZWIKQJOAT-UHFFFAOYSA-N	O=c1[nH]c(=O)n(Cl)c(=O)n1Cl	chembl_phase2	CHEMBL2111065	CC BY-SA 3.0	2026-09-25	197.97	-1.298	1	3	76.86	0	11	12	1	0.0	0	0	1	
screen	VFUXSYAXEKYYMB-UHFFFAOYSA-N	CCc1c(O)cc(O)c(C(=O)c2ccc(OCCN3CCOCC3)c(OC)c2)c1CC(=O)N(CCOC)CCOC	chembl_phase1	CHEMBL4297298	CC BY-SA 3.0	2026-09-25	574.67	2.275	2	10	127.23	16	41	83	3	0.533	0	1	0	chembl_phase1:CHEMBL4300557
